movie_title;user_email;size_mb;start_at;end_at
Full Metal Jacket;rodrick_bergnaum@murray.co;613.4245936603365;2021-12-06 19:30:19;2021-12-07 15:44:38
Rush;nolan.wintheiser@nienow-mante.name;330.524118447188;2021-12-15 04:36:50;2021-12-15 05:57:52
Star Wars: Episode VII - The Force Awakens;willie.baumbach@dietrich.io;2101.559005489579;2021-12-12 22:32:02;2021-12-13 20:37:34
The Bridge on the River Kwai;catalina_rath@jones.info;1988.0439476360807;2021-12-04 20:47:05;2021-12-05 07:13:25
3 Idiots;lowell.keeling@becker-rolfson.org;625.9428853440369;2021-12-25 14:27:16;2021-12-26 00:22:56
Cidade de Deus;melissa.block@auer.co;785.3942642722961;2021-12-27 01:13:43;2021-12-27 11:18:52
The Help;lindsey.altenwerth@stoltenberg.name;193.22441935542824;2021-12-02 10:14:09;2021-12-03 07:15:58
Into the Wild;teodoro@kirlin.net;41.84614303367286;2021-12-15 03:15:45;2021-12-15 12:08:05
Toy Story;kenyetta_orn@king.name;1960.9273281711194;2021-12-14 06:47:23;2021-12-14 11:10:04
Rush;gretchen_kreiger@flatley.name;2055.7864450063585;2021-12-17 02:05:20;2021-12-17 07:51:20
The Dark Knight;lorette@koepp-hessel.co;167.98313277233729;2021-12-22 07:29:38;2021-12-22 22:53:48
Amadeus;alfred.keebler@padberg-denesik.com;636.266128560564;2021-12-19 20:32:31;2021-12-20 14:27:20
The Green Mile;tamra@toy.name;2200.3887309070983;2021-12-19 21:31:26;2021-12-20 01:19:54
The Intouchables;nita@lueilwitz-schuster.biz;515.1830251950083;2021-12-28 23:24:44;2021-12-28 23:26:12
Amadeus;fredrick.heidenreich@rau.net;299.27721708767723;2021-12-21 20:46:16;2021-12-22 15:06:19
The Intouchables;angeline@dietrich-johnson.biz;845.4269040321686;2021-12-28 00:50:24;2021-12-28 06:18:25
Into the Wild;jeremiah@pfeffer.biz;2838.5528782273514;2021-12-28 06:49:35;2021-12-29 06:39:09
